Tarih,Saat,Basinc,Rakim,Sicaklik
6/11/2023,10:27:22,926.41,749.34,14.61
6/11/2023,10:27:28,-0.00,nan,42.50
6/11/2023,10:27:34,-0.00,nan,42.50
6/11/2023,10:27:40,-0.00,nan,42.50
6/11/2023,10:27:46,-0.00,nan,42.50
6/11/2023,10:27:52,-0.00,nan,42.50
6/11/2023,10:27:58,926.44,749.03,14.87
6/11/2023,10:28:4,926.36,749.80,14.87
6/11/2023,10:28:10,926.48,748.72,14.87
6/11/2023,10:28:16,926.58,747.79,14.86
6/11/2023,10:28:22,926.56,748.01,14.90
6/11/2023,10:28:28,-0.00,nan,42.50
6/11/2023,10:28:34,-0.00,nan,42.50
6/11/2023,10:28:40,-0.00,nan,42.50
6/11/2023,10:28:46,-0.00,nan,42.50
6/11/2023,10:28:52,-0.00,nan,42.50
6/11/2023,10:28:58,-0.00,nan,42.50
6/11/2023,10:29:4,-0.00,nan,42.50
6/11/2023,10:29:10,-0.00,nan,42.50
6/11/2023,10:29:16,-0.00,nan,42.50
6/11/2023,10:29:22,-0.00,nan,42.50
6/11/2023,10:29:28,-0.00,nan,15.21
6/11/2023,10:29:34,-0.00,nan,42.50
6/11/2023,10:29:40,-0.00,nan,42.50
6/11/2023,10:29:46,-0.00,nan,42.50
6/11/2023,10:29:52,-0.00,nan,42.50
6/11/2023,10:30:44,767.75,2279.49,42.50
6/11/2023,10:30:50,926.32,750.13,15.10
6/11/2023,10:30:56,926.38,749.63,15.17
6/11/2023,10:31:2,926.29,750.43,15.19
6/11/2023,10:31:8,926.30,750.35,15.22
6/11/2023,10:31:14,926.34,749.96,15.23
6/11/2023,10:31:20,926.35,749.85,15.24
6/11/2023,10:31:26,926.38,749.65,15.24
6/11/2023,10:31:32,926.40,749.47,15.30
6/11/2023,10:31:38,926.34,749.98,15.27
6/11/2023,10:31:44,926.36,749.80,15.26
6/11/2023,10:31:50,926.35,749.91,15.27
6/11/2023,10:31:56,926.32,750.13,15.29
6/11/2023,10:32:2,926.37,749.74,15.30
6/11/2023,10:32:8,926.38,749.65,15.32
6/11/2023,10:32:14,926.36,749.80,15.33
6/11/2023,10:32:20,926.29,750.40,15.34
6/11/2023,10:32:26,926.30,750.31,15.36
6/11/2023,10:32:32,926.20,751.20,15.38
6/11/2023,10:32:38,926.30,750.35,15.39
